iter	RMSE
0	1.298413122
1	1.254414612
2	1.213804165
3	1.180381815
4	1.147970951
5	1.120868692
6	1.096622531
7	1.076737282
8	1.060125897
9	1.044185199
10	1.033213472
11	1.020584487
12	1.010335539
13	1.001411393
14	0.9902624163
15	0.9811958491
16	0.9713385986
17	0.9646443521
18	0.9566454349
19	0.9487100707
20	0.9414196858
21	0.936145426
22	0.9301076302
23	0.9265855263
24	0.9224782679
25	0.9180032302
26	0.913970702
27	0.909746158
28	0.9074147844
29	0.9031723806
30	0.8978992605
31	0.8952888782
32	0.8925907221
33	0.8897464133
34	0.8876905647
35	0.8848599393
36	0.8822561374
37	0.8790471626
38	0.8765715635
39	0.8744204943
40	0.872552414
41	0.8710542396
42	0.8688578455
43	0.8670309835
44	0.8657101965
45	0.8637781074
46	0.8620724413
47	0.8563334469
48	0.8555353884
49	0.8541052925
50	0.8530867803
51	0.8492066887
52	0.8475938981
53	0.846357726
54	0.8454775556
55	0.8448026432
56	0.8437603797
57	0.8426978764
58	0.841650972
59	0.8406582787
60	0.8387089034
61	0.8381348137
62	0.8363448239
63	0.8342215313
64	0.8323882102
65	0.8305108472
66	0.8296295811
67	0.827673956
68	0.8265994333
69	0.8245958171
70	0.8231372704
71	0.8213063526
72	0.8198486292
73	0.8184260589
74	0.8174137981
75	0.8156724943
76	0.8125949216
77	0.8114000834
78	0.8097904289
79	0.8087840924
80	0.8076998765
81	0.8064851187
82	0.8054192304
83	0.8039684084
84	0.8027551368
85	0.8009395816
86	0.7997090384
87	0.798634398
88	0.7979108418
89	0.7971605838
90	0.7958714893
91	0.794644494
92	0.7931804358
93	0.7917700111
94	0.7903462329
95	0.7892253662
96	0.788497904
97	0.7877283419
98	0.7851585166
99	0.7844392119
