iter	Passed	Remaining
0	0	74
1	1	80
2	2	76
3	2	69
4	3	60
5	3	58
6	4	57
7	4	53
8	4	50
9	5	47
10	5	45
11	5	43
12	6	45
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	38
19	9	37
20	9	36
21	10	35
22	10	35
23	10	34
24	11	33
25	11	32
26	11	31
27	12	31
28	12	30
29	12	30
30	13	29
31	13	28
32	13	28
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	17	21
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	19	18
52	19	17
53	20	17
54	20	17
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	29	5
84	30	5
85	30	4
86	30	4
87	31	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
