iter	Passed	Remaining
0	69	6856
1	69	3415
2	69	2261
3	70	1686
4	70	1343
5	71	1112
6	71	946
7	71	823
8	72	729
9	72	653
10	72	590
11	73	536
12	73	492
13	73	453
14	74	419
15	74	389
16	74	364
17	74	340
18	75	319
19	75	301
20	75	284
21	75	268
22	76	254
23	76	241
24	76	229
25	78	224
26	79	213
27	79	204
28	79	195
29	80	186
30	80	178
31	80	171
32	80	164
33	81	157
34	81	150
35	81	144
36	81	139
37	82	133
38	82	129
39	82	124
40	83	119
41	83	114
42	83	110
43	83	106
44	83	102
45	84	98
46	84	95
47	84	91
48	84	88
49	85	85
50	85	81
51	85	78
52	85	75
53	85	73
54	86	70
55	86	67
56	86	65
57	86	62
58	86	60
59	87	58
60	87	55
61	87	53
62	87	51
63	88	49
64	88	47
65	88	45
66	88	43
67	89	41
68	89	40
69	89	38
70	90	37
71	91	35
72	91	33
73	91	32
74	92	30
75	92	29
76	92	27
77	92	26
78	92	24
79	92	23
80	93	21
81	93	20
82	93	19
83	93	17
84	93	16
85	93	15
86	93	14
87	94	12
88	94	11
89	94	10
90	94	9
91	94	8
92	94	7
93	95	6
94	95	5
95	95	3
96	95	2
97	95	1
98	95	0
99	96	0
